year,week,global_idx,precip_pcc,precip_acc,precip_rmse,t2m_pcc,t2m_acc,t2m_rmse,d2m_pcc,d2m_acc,d2m_rmse,u850_pcc,u850_acc,u850_rmse,surface_rmse,upper_air_rmse
2017,1,1820,0.44137993454933167,0.4404873251914978,1.8344330787658691,0.9615892767906189,0.9607303738594055,0.2549007534980774,0.9599062204360962,0.9598260521888733,0.25812751054763794,0.6021761298179626,0.7601836919784546,0.5469048619270325,0.8063778281211853,7.438892364501953
2017,2,1821,0.44000646471977234,0.43815770745277405,1.7475478649139404,0.9790248274803162,0.9774432182312012,0.1980113983154297,0.9758241176605225,0.9754796624183655,0.2072695791721344,0.6510135531425476,0.7801799178123474,0.5302934646606445,0.77409827709198,7.405227184295654
2017,3,1822,0.4714197516441345,0.4713808298110962,1.760972261428833,0.9745378494262695,0.9739651679992676,0.21449938416481018,0.9738474488258362,0.9739060997962952,0.21434088051319122,0.5923112630844116,0.7266456484794617,0.6018381714820862,0.7949396371841431,7.455422401428223
2017,4,1823,0.41934454441070557,0.4180378019809723,1.8933945894241333,0.9688311219215393,0.9677150249481201,0.24199312925338745,0.9693801999092102,0.9693963527679443,0.23561690747737885,0.6007153987884521,0.7270752787590027,0.6001998782157898,0.8091908693313599,7.498210906982422
2017,5,1824,0.4704015254974365,0.47002479434013367,1.7522046566009521,0.9826820492744446,0.9820486307144165,0.19502872228622437,0.9806259870529175,0.9807230830192566,0.19893616437911987,0.6570529937744141,0.763643741607666,0.5234534740447998,0.7838138341903687,7.444639205932617
2017,6,1825,0.426136314868927,0.42654308676719666,1.8053038120269775,0.9759067893028259,0.9759066104888916,0.2330102175474167,0.9685240387916565,0.9685467481613159,0.26050400733947754,0.5690527558326721,0.7066679000854492,0.6202971935272217,0.8037213087081909,7.45599365234375
2017,7,1826,0.44507238268852234,0.44530385732650757,1.7421687841415405,0.9804286360740662,0.9795819520950317,0.20415915548801422,0.9778662919998169,0.9780059456825256,0.21194489300251007,0.567716658115387,0.7027478218078613,0.6468161940574646,0.804176390171051,7.429627895355225
2017,8,1827,0.44430893659591675,0.44387373328208923,1.7022838592529297,0.9800050258636475,0.9790027737617493,0.21272769570350647,0.9779136180877686,0.9780738353729248,0.2183055728673935,0.6222658157348633,0.7550011277198792,0.5683928728103638,0.7711943984031677,7.4267897605896
2017,9,1828,0.5104209780693054,0.5098378658294678,1.5801674127578735,0.9787417650222778,0.9785582423210144,0.22859153151512146,0.977410614490509,0.9774286150932312,0.23621660470962524,0.6675230264663696,0.787953794002533,0.5168257355690002,0.7583124041557312,7.417779922485352
2017,10,1829,0.4375072717666626,0.43768253922462463,1.6922063827514648,0.9853942394256592,0.984193742275238,0.18443667888641357,0.9825183749198914,0.9823830723762512,0.1962212175130844,0.7367349863052368,0.8136394619941711,0.4969417452812195,0.7401142120361328,7.409054279327393
2017,11,1830,0.49201422929763794,0.49116450548171997,1.595445990562439,0.984457790851593,0.9825979471206665,0.1945856362581253,0.9812314510345459,0.9806777238845825,0.20605288445949554,0.6739856004714966,0.7516815662384033,0.5613797307014465,0.740745484828949,7.417450904846191
2017,12,1831,0.4387231469154358,0.4386436939239502,1.6932108402252197,0.9807500839233398,0.9793068170547485,0.2109457403421402,0.9779219627380371,0.9779835343360901,0.21934403479099274,0.6781253814697266,0.7465595602989197,0.5859766006469727,0.7693833112716675,7.4216718673706055
2017,13,1832,0.45468688011169434,0.4552510976791382,1.6274558305740356,0.9801649451255798,0.9790241718292236,0.216915100812912,0.9781809449195862,0.9782580137252808,0.2235139161348343,0.6483213305473328,0.7345777153968811,0.6039669513702393,0.7678197622299194,7.430980205535889
2017,14,1833,0.43281465768814087,0.43327611684799194,1.6795594692230225,0.9796760678291321,0.9784062504768372,0.22552020847797394,0.9768928289413452,0.9768739342689514,0.23832684755325317,0.7132015228271484,0.784671425819397,0.5495530366897583,0.7422320246696472,7.405618667602539
2017,15,1834,0.45098403096199036,0.45009973645210266,1.604732871055603,0.9842875003814697,0.9806557893753052,0.1994502693414688,0.9805958867073059,0.9795722961425781,0.20311321318149567,0.6871420741081238,0.7817559242248535,0.533932626247406,0.7371605634689331,7.415318965911865
2017,16,1835,0.41009801626205444,0.4100630581378937,1.7112112045288086,0.9881213903427124,0.9848830699920654,0.17918813228607178,0.9860216379165649,0.9854515194892883,0.17460089921951294,0.7092112302780151,0.8002745509147644,0.5193111300468445,0.7426782846450806,7.4394145011901855
2017,17,1836,0.38440510630607605,0.3839607238769531,1.751725673675537,0.9826110005378723,0.9791786074638367,0.20748944580554962,0.9784358143806458,0.977713406085968,0.2142414003610611,0.6898420453071594,0.7840803861618042,0.5526105761528015,0.7693368792533875,7.4831671714782715
2017,18,1837,0.42618390917778015,0.4245549142360687,1.7748364210128784,0.9838517904281616,0.9771541953086853,0.21253955364227295,0.9818933606147766,0.9789113998413086,0.20194588601589203,0.6954532861709595,0.7928458452224731,0.5415927171707153,0.7570374608039856,7.456671714782715
2017,19,1838,0.4209076166152954,0.4198434352874756,1.7950459718704224,0.9854316711425781,0.9771987795829773,0.21045799553394318,0.9827978014945984,0.9790555834770203,0.1989162117242813,0.6941066980361938,0.7935537695884705,0.5444045066833496,0.7772433161735535,7.466235160827637
2017,20,1839,0.4798322021961212,0.47976499795913696,1.7207753658294678,0.9813772439956665,0.9723544120788574,0.2285521775484085,0.9793389439582825,0.9753102660179138,0.21516099572181702,0.7320588231086731,0.8172659277915955,0.5237876176834106,0.7385063171386719,7.452781677246094
2017,21,1840,0.5016927719116211,0.5001599788665771,1.7679511308670044,0.9804326295852661,0.9742818474769592,0.23661665618419647,0.9782776236534119,0.9761533141136169,0.23296613991260529,0.6856814622879028,0.7950185537338257,0.5428785681724548,0.750741183757782,7.499939441680908
2017,22,1841,0.5030642151832581,0.5020808577537537,1.7331064939498901,0.9867498278617859,0.9818424582481384,0.21650485694408417,0.9842249155044556,0.9825170636177063,0.22280645370483398,0.6936776041984558,0.7931115627288818,0.5313641428947449,0.7628509998321533,7.480437278747559
2017,23,1842,0.4772097170352936,0.4766751527786255,1.7792582511901855,0.9837429523468018,0.9761358499526978,0.22405993938446045,0.9813429117202759,0.977337121963501,0.2201615273952484,0.5982299447059631,0.7596441507339478,0.5539502501487732,0.7904605269432068,7.5190300941467285
2017,24,1843,0.5037277340888977,0.5019611716270447,1.7281622886657715,0.9819244146347046,0.9756119251251221,0.23025117814540863,0.9791445136070251,0.9764944314956665,0.22994421422481537,0.6711747646331787,0.7922219038009644,0.5304925441741943,0.7698630690574646,7.503853797912598
2017,25,1844,0.4959355592727661,0.49488070607185364,1.6648811101913452,0.9837741255760193,0.9793598055839539,0.22537648677825928,0.9812048673629761,0.9799264073371887,0.23395434021949768,0.6923603415489197,0.7805587649345398,0.5334287881851196,0.754906952381134,7.477508544921875
2017,26,1845,0.545431911945343,0.5443580150604248,1.5922011137008667,0.9894499182701111,0.9845635294914246,0.1956314891576767,0.9873167276382446,0.9852750301361084,0.20433813333511353,0.720840573310852,0.7913317680358887,0.5172711610794067,0.7375158667564392,7.466257572174072
2017,27,1846,0.5467569828033447,0.5452685356140137,1.6490131616592407,0.9843671321868896,0.9779285192489624,0.21836283802986145,0.9818589091300964,0.9786633253097534,0.21900629997253418,0.725557804107666,0.7937948703765869,0.5412994623184204,0.7412857413291931,7.483250617980957
2017,28,1847,0.5119417905807495,0.5109156966209412,1.7361149787902832,0.983875036239624,0.9748286008834839,0.22982625663280487,0.9805325269699097,0.9762730598449707,0.22065141797065735,0.7113116383552551,0.7816177010536194,0.5435295701026917,0.7497480511665344,7.446316242218018
2017,29,1848,0.4765580892562866,0.4759351313114166,1.7598562240600586,0.9886879920959473,0.9798356294631958,0.2062608152627945,0.9869855046272278,0.9829928874969482,0.19416113197803497,0.7089018821716309,0.7964916825294495,0.5145013332366943,0.7533360719680786,7.452315807342529
2017,30,1849,0.43060821294784546,0.42995062470436096,1.8637224435806274,0.9845303297042847,0.9799830913543701,0.22212937474250793,0.9837520718574524,0.9821795225143433,0.22530487179756165,0.6687154173851013,0.7790578603744507,0.5239746570587158,0.7714540958404541,7.462520599365234
2017,31,1850,0.427705317735672,0.42657458782196045,1.7966960668563843,0.9860180020332336,0.9801956415176392,0.20512507855892181,0.9849464893341064,0.9825265407562256,0.20284828543663025,0.7088205814361572,0.7671111822128296,0.5627084374427795,0.7646593451499939,7.488626003265381
2017,32,1851,0.4489053189754486,0.44862180948257446,1.7186498641967773,0.9804936051368713,0.9760333299636841,0.22666935622692108,0.9803564548492432,0.9783817529678345,0.21950583159923553,0.6385394930839539,0.7586977481842041,0.5642392635345459,0.7706395983695984,7.47445011138916
2017,33,1852,0.47012457251548767,0.4694434404373169,1.790057897567749,0.9860779047012329,0.9850286245346069,0.2040209323167801,0.9855958819389343,0.9855998158454895,0.21744945645332336,0.7374346256256104,0.8227897882461548,0.48612523078918457,0.7508654594421387,7.477725028991699
2017,34,1853,0.44575098156929016,0.44497036933898926,1.7337990999221802,0.9809287190437317,0.9793182611465454,0.2141755074262619,0.9795314073562622,0.9794155955314636,0.22227662801742554,0.669847309589386,0.7841522693634033,0.55403733253479,0.767772376537323,7.460121154785156
2017,35,1854,0.44951602816581726,0.449048787355423,1.847212314605713,0.9812517762184143,0.9780782461166382,0.216911181807518,0.9816538691520691,0.9808509349822998,0.201529860496521,0.6925642490386963,0.7629837393760681,0.561806857585907,0.7723938822746277,7.448968887329102
2017,36,1855,0.46132901310920715,0.4609854817390442,1.7363718748092651,0.985022783279419,0.9834550023078918,0.19441784918308258,0.98426753282547,0.9841721057891846,0.19711437821388245,0.6752999424934387,0.7853389978408813,0.5212758183479309,0.7626667022705078,7.4304094314575195
2017,37,1856,0.46553075313568115,0.4655264914035797,1.7493282556533813,0.9789528250694275,0.977605402469635,0.2109655886888504,0.9777243137359619,0.9775663018226624,0.21293015778064728,0.6683743596076965,0.7762612700462341,0.5477485656738281,0.77409428358078,7.477372169494629
2017,38,1857,0.4823577105998993,0.48112407326698303,1.697327971458435,0.9718212485313416,0.9689666032791138,0.2584262490272522,0.9723144769668579,0.971318781375885,0.23787035048007965,0.6538696885108948,0.736059308052063,0.6127446293830872,0.7673588991165161,7.5075860023498535
2017,39,1858,0.4681922495365143,0.4673461318016052,1.6913431882858276,0.9750125408172607,0.973188042640686,0.22492359578609467,0.97614586353302,0.9758875370025635,0.21119914948940277,0.6517699360847473,0.7503252625465393,0.6015686988830566,0.7682651877403259,7.4607367515563965
