year,n_samples,precip_pcc,precip_acc,precip_rmse,t2m_pcc,t2m_acc,t2m_rmse,d2m_pcc,d2m_acc,d2m_rmse,u850_pcc,u850_acc,u850_rmse,surface_rmse,upper_air_rmse
2017,50,0.45595801174640654,0.4554234343767166,1.746620216369629,0.9786676299571991,0.9757489168643951,0.21887013137340547,0.9770260453224182,0.9760462939739227,0.21933816105127335,0.675377094745636,0.776904993057251,0.5499591237306595,0.7691774666309357,7.4537859058380125
2018,50,0.4389598721265793,0.4385434412956238,1.7896424746513366,0.9776139736175538,0.9743162035942078,0.22433359056711197,0.9761312556266785,0.9749345326423645,0.22334311842918397,0.6685418784618378,0.7756251645088196,0.5520151948928833,0.7745019292831421,7.442115602493286
2019,50,0.43325116991996765,0.4327980452775955,1.8196893525123596,0.9792841529846191,0.976095061302185,0.21749183297157287,0.9774778735637665,0.9762211787700653,0.21793156504631042,0.6609510648250579,0.7762425100803375,0.5506515514850616,0.7784655964374543,7.459347524642944
2020,50,0.4546861267089844,0.45430052757263184,1.7721685910224914,0.9788486230373382,0.9753922176361084,0.21927304923534394,0.9775260710716247,0.9761689186096192,0.21696992158889772,0.6650354951620102,0.7700602674484253,0.556083881855011,0.7717168891429901,7.4523876285552975
2021,50,0.4496492683887482,0.4495781910419464,1.7555081176757812,0.9778302681446075,0.9750470864772797,0.22434283226728438,0.9761532771587372,0.9752345836162567,0.224441277384758,0.6781603538990021,0.7772261202335358,0.5522322165966034,0.769105167388916,7.443146915435791
