epoch,baseline_mse,full_mse,water_mse,energy_mse,hydrostatic_mse,temperature_mse,momentum_mse,water_contribution,energy_contribution,hydrostatic_contribution,temperature_contribution,momentum_contribution,full_contribution,water_contribution_pct,energy_contribution_pct,hydrostatic_contribution_pct,temperature_contribution_pct,momentum_contribution_pct
5,1.2184191942214966,1.5859796404838562,1.319826638698578,1.4465648651123046,1.7465637803077698,1.2829399347305297,1.349103367328644,-0.10140744447708139,-0.22814567089080806,-0.5281445860862732,-0.06452074050903311,-0.13068417310714753,-0.3675604462623596,21.38988002016849,19.515843450955884,16.16370027106033,22.00487543098774,20.92570082682756
10,1.1597690820693969,1.3980618715286257,1.1871361255645752,1.3733132004737854,1.49462593793869,1.1837572932243348,1.2067875623703004,-0.027367043495178267,-0.21354411840438847,-0.33485685586929304,-0.023988211154937877,-0.0470184803009035,-0.23829278945922883,21.527264059725297,18.608859829681396,17.098454001884267,21.588709945987823,21.17671216272121
15,1.1069770336151123,1.331285846233368,1.1688750863075257,1.2404364585876464,1.4000245332717896,1.1310604572296143,1.1558510780334472,-0.06189805269241333,-0.13345942497253405,-0.2930474996566772,-0.024083423614501998,-0.04887404441833487,-0.22430881261825575,20.738685170322384,19.542260508825873,17.314648309565904,21.432039519567503,20.972366491718336
20,1.0958003103733065,1.2632445454597474,1.1409028887748718,1.2024747252464294,1.3340765357017517,1.10979825258255,1.1274433851242065,-0.045102578401565285,-0.1066744148731229,-0.23827622532844517,-0.013997942209243552,-0.0316430747509,-0.1674442350864409,20.644259555528908,19.58718538445315,17.654980605090824,21.222862181222645,20.890712273704473
