year,n_samples,precip_pcc,precip_acc,precip_rmse,olr_pcc,olr_acc,olr_rmse,t2m_pcc,t2m_acc,t2m_rmse,d2m_pcc,d2m_acc,d2m_rmse,u200_pcc,u200_acc,u200_rmse,u850_pcc,u850_acc,u850_rmse,surface_rmse,upper_air_rmse
2017,50,0.7341872298717499,0.7343650603294373,1.275334017276764,0.9629020118713378,0.9628806459903717,0.2608462741971016,0.994806797504425,0.9947311079502106,0.10223155930638313,0.9924942255020142,0.9924190878868103,0.12137429758906365,0.886972883939743,0.887079336643219,0.46348207592964175,0.8594529259204865,0.8584884321689605,0.5273683607578278,0.43968886613845826,0.6318164694309235
2018,50,0.7355991220474243,0.7357973945140839,1.281191120147705,0.9610230982303619,0.9609910476207734,0.2660996949672699,0.9945122468471527,0.9943883645534516,0.10483970806002617,0.9922763752937317,0.9921689355373382,0.123035137206316,0.8834965074062348,0.8834554314613342,0.467958642244339,0.8585621976852417,0.8577844345569611,0.5259547263383866,0.43888750970363616,0.6301479995250702
2019,50,0.7273621582984924,0.7275921130180358,1.3175210452079773,0.9616198480129242,0.961634842157364,0.26534689515829085,0.9949643230438232,0.9948928332328797,0.10120477572083474,0.9926766431331635,0.9926211142539978,0.12037595212459565,0.8908946430683136,0.8909266054630279,0.4602762985229492,0.8563698351383209,0.8558229458332062,0.5185011959075928,0.44039106905460357,0.6428967428207397
2020,50,0.6906912469863892,0.6909598994255066,1.3798487997055053,0.9573015034198761,0.9573110103607178,0.28295782893896104,0.9945463609695434,0.9944186663627624,0.10467156499624253,0.9922153615951538,0.9920947670936584,0.12354136258363724,0.8783388340473175,0.8790714240074158,0.47875672519207,0.8500595247745514,0.8490505039691925,0.5438427376747131,0.45958367705345154,0.644788669347763
2021,50,0.6878233885765076,0.6880656886100769,1.362006845474243,0.9576542365550995,0.9576421749591827,0.28331097185611726,0.9944168114662171,0.9943947505950927,0.10662973120808601,0.9921388638019562,0.9921239531040191,0.1251574406027794,0.8739278399944306,0.8744976818561554,0.4769881504774094,0.8548591268062592,0.854257847070694,0.5382695704698562,0.4543281376361847,0.6308402419090271
