year,week,global_idx,precip_pcc,precip_acc,precip_rmse,olr_pcc,olr_acc,olr_rmse,t2m_pcc,t2m_acc,t2m_rmse,d2m_pcc,d2m_acc,d2m_rmse,u200_pcc,u200_acc,u200_rmse,u850_pcc,u850_acc,u850_rmse,surface_rmse,upper_air_rmse
2017,1,1820,0.7732523083686829,0.7731168866157532,1.23086678981781,0.9569607973098755,0.9570034146308899,0.2621232867240906,0.9904355406761169,0.989990234375,0.13171996176242828,0.9871608018875122,0.9866727590560913,0.15122446417808533,0.8883842825889587,0.888229489326477,0.5063404440879822,0.8258036971092224,0.8218240141868591,0.5636577010154724,0.46442005038261414,0.64341801404953
2017,2,1821,0.7403683066368103,0.7400833368301392,1.2592058181762695,0.9580348134040833,0.958063006401062,0.2648804783821106,0.9953353404998779,0.9952847361564636,0.08989978581666946,0.9929215312004089,0.99287348985672,0.10986588895320892,0.9135444760322571,0.912128210067749,0.43318116664886475,0.8610562682151794,0.8603209257125854,0.5178716778755188,0.43647873401641846,0.6124123334884644
2017,3,1822,0.7768427729606628,0.7768427133560181,1.185569405555725,0.9550723433494568,0.9547921419143677,0.2716364860534668,0.9948573708534241,0.9947199821472168,0.1001209020614624,0.9925470352172852,0.9923411011695862,0.11780406534671783,0.8947526216506958,0.8945198059082031,0.4705412983894348,0.8566034436225891,0.8566104769706726,0.5323526263237,0.43229734897613525,0.6128461360931396
2017,4,1823,0.7557061910629272,0.7554822564125061,1.328874945640564,0.9584048390388489,0.9581254720687866,0.2614164650440216,0.992527186870575,0.992417573928833,0.11777900159358978,0.9896177053451538,0.9895042181015015,0.13747037947177887,0.9139673113822937,0.9139328598976135,0.4391385018825531,0.8257594108581543,0.8243485689163208,0.6071574687957764,0.45837220549583435,0.6502671241760254
2017,5,1824,0.6886789202690125,0.6886310577392578,1.3721414804458618,0.9557390809059143,0.955741822719574,0.275014728307724,0.9930323362350464,0.9930353164672852,0.11486274003982544,0.9899633526802063,0.9899829626083374,0.1374785304069519,0.8629993796348572,0.8629496097564697,0.5242893099784851,0.8310315012931824,0.8254378437995911,0.5398461818695068,0.4804445505142212,0.6630979776382446
2017,6,1825,0.7259110808372498,0.725938081741333,1.2033756971359253,0.9617224931716919,0.9618152976036072,0.25924748182296753,0.9942325949668884,0.9942481517791748,0.10773510485887527,0.9915862083435059,0.9916035532951355,0.1302841454744339,0.8481357097625732,0.8469322919845581,0.5436643958091736,0.7919045090675354,0.7914972901344299,0.6169182062149048,0.45510977506637573,0.6390249729156494
2017,7,1826,0.7543269395828247,0.7542378306388855,1.1782723665237427,0.963706374168396,0.9632782936096191,0.2566426992416382,0.9948098659515381,0.9944453239440918,0.10943545401096344,0.9924851655960083,0.9922165870666504,0.12758296728134155,0.8795251250267029,0.8792985677719116,0.48174604773521423,0.7885696291923523,0.7880140542984009,0.6466603875160217,0.4431122839450836,0.6231332421302795
2017,8,1827,0.7336692214012146,0.7336515188217163,1.2352585792541504,0.9639153480529785,0.9640145301818848,0.2507476806640625,0.9933750629425049,0.9933896064758301,0.1172294020652771,0.9903884530067444,0.9904215931892395,0.14116401970386505,0.8909117579460144,0.8909482359886169,0.47374656796455383,0.8620033264160156,0.8611698746681213,0.5039528608322144,0.4459388554096222,0.6218600273132324
2017,9,1828,0.7261936664581299,0.7259143590927124,1.1959344148635864,0.961807131767273,0.961883544921875,0.2643842399120331,0.993638277053833,0.9936511516571045,0.11831089854240417,0.9911049604415894,0.9911423325538635,0.13997288048267365,0.8917080163955688,0.8919692635536194,0.4637395441532135,0.8387138247489929,0.8338611721992493,0.5635213851928711,0.4415203630924225,0.6315202713012695
2017,10,1829,0.7241939306259155,0.7240166068077087,1.1883598566055298,0.9627395868301392,0.9629369378089905,0.2587859332561493,0.9947144389152527,0.9944518804550171,0.1080356240272522,0.9924005270004272,0.9920046925544739,0.1286887675523758,0.9037715792655945,0.9040442705154419,0.4382801055908203,0.8760027289390564,0.8749262094497681,0.5195685029029846,0.41184356808662415,0.5787109136581421
2017,11,1830,0.7249482870101929,0.7244571447372437,1.2319718599319458,0.9624719023704529,0.962559700012207,0.2660561501979828,0.9953325986862183,0.9953006505966187,0.10083267837762833,0.9928527474403381,0.9928116798400879,0.12489166855812073,0.8948066234588623,0.8940425515174866,0.4359699785709381,0.8527669906616211,0.851464033126831,0.548557698726654,0.4522648751735687,0.6257343888282776
2017,12,1831,0.7320585250854492,0.732045590877533,1.2402088642120361,0.9634717106819153,0.9634522795677185,0.2647698223590851,0.9954331517219543,0.9954317808151245,0.09744317829608917,0.9936721324920654,0.9936724901199341,0.11478755623102188,0.8841717839241028,0.8846930265426636,0.4303629994392395,0.8761471509933472,0.8761402368545532,0.5030853152275085,0.4237184226512909,0.6041977405548096
2017,13,1832,0.6956474781036377,0.695713460445404,1.216715931892395,0.9590190649032593,0.9590937495231628,0.27469730377197266,0.9954147934913635,0.9953641891479492,0.10508959740400314,0.9934314489364624,0.9933223724365234,0.1257142871618271,0.8671671152114868,0.8674166202545166,0.4502567946910858,0.8493672609329224,0.8493902087211609,0.5485476851463318,0.4278489053249359,0.615199863910675
2017,14,1833,0.7115898728370667,0.7116250395774841,1.1802250146865845,0.9601395130157471,0.9602015614509583,0.27715787291526794,0.9940593838691711,0.9940482378005981,0.11978058516979218,0.9908931255340576,0.9908748269081116,0.14753276109695435,0.8672726154327393,0.8676316142082214,0.4728182554244995,0.8342115879058838,0.8342862725257874,0.5557683110237122,0.43403932452201843,0.6127300262451172
2017,15,1834,0.6981011033058167,0.6977934241294861,1.2252768278121948,0.9557582139968872,0.9557669758796692,0.2813433110713959,0.9939221739768982,0.9937911629676819,0.11111266165971756,0.9910443425178528,0.9909812211990356,0.13332396745681763,0.8543436527252197,0.8551024794578552,0.47601279616355896,0.8623457551002502,0.8593308925628662,0.4975726902484894,0.4238128066062927,0.627581775188446
2017,16,1835,0.7292482256889343,0.7292474508285522,1.240142583847046,0.9632220268249512,0.963168203830719,0.26260197162628174,0.9953654408454895,0.9953590631484985,0.10087810456752777,0.9931284785270691,0.9930503368377686,0.12140140682458878,0.8601340651512146,0.8609103560447693,0.4350884258747101,0.877637505531311,0.8767244815826416,0.46988314390182495,0.41830986738204956,0.601503312587738
