epoch,train_total,train_surface,train_upper_air,valid_total,valid_surface,valid_upper_air
1,1.909973,1.18709,0.722883,1.493803,0.889516,0.604287
2,1.36806,0.839655,0.528406,1.383748,0.825383,0.558365
3,1.282031,0.780582,0.501449,1.288515,0.752097,0.536418
4,1.18877,0.702438,0.486332,1.224993,0.699769,0.525224
5,1.16163,0.676888,0.484741,1.19026,0.670641,0.519619
6,1.110444,0.63277,0.477675,1.170438,0.659579,0.510859
7,1.096559,0.623465,0.473094,1.179872,0.667641,0.512231
8,1.079214,0.609844,0.469369,1.176408,0.671999,0.504409
9,1.063306,0.598571,0.464736,1.146287,0.635522,0.510765
10,1.045247,0.583126,0.462121,1.150811,0.64589,0.504921
11,1.040133,0.57981,0.460323,1.1321,0.631307,0.500793
12,1.029192,0.568141,0.461051,1.114316,0.613107,0.501209
13,1.010416,0.554244,0.456172,1.120466,0.618207,0.502259
14,1.010352,0.553973,0.456379,1.127891,0.630489,0.497401
15,0.997452,0.543791,0.453662,1.112835,0.619881,0.492955
16,0.994862,0.540689,0.454173,1.110835,0.609213,0.501621
17,0.979879,0.527123,0.452756,1.093777,0.599471,0.494305
18,0.969604,0.52027,0.449333,1.126826,0.63085,0.495977
19,0.982691,0.5332,0.44949,1.127171,0.634073,0.493098
20,0.974182,0.523538,0.450644,1.125589,0.6213,0.504289
21,0.956372,0.510537,0.445835,1.109156,0.61015,0.499005
22,0.961565,0.513069,0.448497,1.105075,0.613163,0.491912
23,0.952364,0.50881,0.443554,1.099582,0.608023,0.491559
24,0.943137,0.499528,0.443608,1.103207,0.600303,0.502905
25,0.9402,0.497406,0.442794,1.099584,0.606146,0.493438
26,0.946673,0.503611,0.443062,1.112342,0.610523,0.501819
27,0.940029,0.495262,0.444766,1.09831,0.605565,0.492744
28,0.930565,0.489912,0.440653,1.099981,0.603268,0.496714
29,0.92053,0.482951,0.437579,1.098222,0.59425,0.503971
30,0.926742,0.489674,0.437068,1.096606,0.595492,0.501114
31,0.935363,0.497287,0.438076,1.112718,0.620173,0.492545
32,0.917395,0.482512,0.434883,1.114195,0.622395,0.4918
33,0.915971,0.477484,0.438488,1.108233,0.609888,0.498345
34,0.904974,0.469277,0.435697,1.097168,0.602629,0.494539
35,0.898561,0.46884,0.42972,1.099346,0.606197,0.493149
36,0.897472,0.467486,0.429985,1.115908,0.620598,0.49531
37,0.887388,0.457481,0.429907,1.129898,0.621256,0.508642
38,0.885189,0.456502,0.428687,1.10382,0.607676,0.496144
39,0.867647,0.441228,0.426419,1.082409,0.588253,0.494156
40,0.879038,0.453684,0.425354,1.130998,0.627765,0.503233
41,0.878984,0.451397,0.427586,1.113415,0.614606,0.498808
42,0.862602,0.438175,0.424427,1.142159,0.629428,0.512732
43,0.87172,0.44032,0.4314,1.123915,0.622979,0.500936
44,0.864435,0.441358,0.423078,1.168498,0.652973,0.515525
45,0.8538,0.432926,0.420874,1.118551,0.608948,0.509603
46,0.840556,0.420231,0.420325,1.143548,0.632621,0.510927
47,0.829262,0.414926,0.414336,1.103011,0.602403,0.500607
48,0.829836,0.416316,0.413519,1.160209,0.633341,0.526867
49,0.821807,0.406432,0.415375,1.102976,0.599621,0.503355
50,0.817294,0.405199,0.412095,1.136538,0.618192,0.518346
