epoch,train_total,train_surface,train_upper_air,valid_total,valid_surface,valid_upper_air
1,1.90168,1.074485,0.827195,1.475148,0.804176,0.670972
2,1.368406,0.792494,0.575911,1.359192,0.76132,0.597872
3,1.233988,0.70308,0.530908,1.248017,0.686284,0.561734
4,1.175779,0.66346,0.512319,1.226968,0.678117,0.548851
5,1.142149,0.64392,0.498229,1.215402,0.678313,0.537088
6,1.115702,0.626863,0.488839,1.212906,0.681181,0.531725
7,1.09216,0.608884,0.483276,1.158432,0.637199,0.521233
8,1.061985,0.581445,0.48054,1.14364,0.625992,0.517648
9,1.055731,0.578825,0.476906,1.179525,0.663413,0.516112
10,1.045998,0.571958,0.47404,1.15078,0.640606,0.510174
11,1.036164,0.565599,0.470566,1.136006,0.623405,0.512601
12,1.015294,0.547055,0.468239,1.150403,0.638573,0.51183
13,1.007167,0.542709,0.464458,1.110385,0.607337,0.503049
14,1.006476,0.541748,0.464727,1.112163,0.607414,0.504749
15,0.995604,0.533292,0.462312,1.111851,0.609647,0.502204
16,0.980765,0.522587,0.458178,1.085876,0.585163,0.500713
17,0.982833,0.524298,0.458535,1.101766,0.601918,0.499849
18,0.979482,0.521834,0.457648,1.104115,0.606792,0.497323
19,0.974847,0.519654,0.455193,1.093565,0.588023,0.505542
20,0.96899,0.513015,0.455975,1.119681,0.622204,0.497477
21,0.973275,0.51839,0.454885,1.101539,0.607647,0.493892
22,0.966344,0.513557,0.452787,1.083644,0.589163,0.494481
23,0.948557,0.496707,0.45185,1.092397,0.598491,0.493905
24,0.951951,0.49808,0.453872,1.103222,0.607456,0.495766
25,0.950598,0.499328,0.45127,1.075768,0.584304,0.491464
26,0.944074,0.493948,0.450126,1.09753,0.599331,0.498199
27,0.944321,0.494737,0.449583,1.102218,0.610418,0.4918
28,0.943971,0.493556,0.450415,1.070093,0.576567,0.493526
29,0.935322,0.488503,0.446819,1.077388,0.584814,0.492574
30,0.923357,0.476899,0.446458,1.064865,0.573355,0.49151
31,0.931748,0.487914,0.443833,1.114352,0.619135,0.495217
32,0.928382,0.481727,0.446655,1.074548,0.582445,0.492103
33,0.922376,0.477941,0.444435,1.146458,0.648267,0.49819
34,0.922235,0.478938,0.443297,1.080522,0.586633,0.49389
35,0.914949,0.473724,0.441225,1.098342,0.608388,0.489954
36,0.920521,0.479574,0.440947,1.068559,0.575668,0.492892
37,0.91734,0.476981,0.440359,1.0852,0.593364,0.491836
38,0.906203,0.466164,0.440039,1.084453,0.594413,0.49004
39,0.902845,0.465903,0.436942,1.111352,0.615522,0.49583
40,0.902135,0.462517,0.439618,1.080806,0.589123,0.491684
41,0.896881,0.459121,0.437759,1.076786,0.582321,0.494465
42,0.899406,0.46133,0.438076,1.078537,0.588081,0.490456
43,0.88724,0.450217,0.437023,1.096007,0.602927,0.493081
44,0.882369,0.446488,0.43588,1.102596,0.613183,0.489412
45,0.873722,0.439526,0.434195,1.104269,0.610303,0.493965
46,0.883083,0.448863,0.43422,1.112426,0.621,0.491426
47,0.871822,0.439595,0.432227,1.108222,0.616077,0.492146
48,0.864222,0.433754,0.430468,1.124332,0.628326,0.496006
49,0.875163,0.443197,0.431967,1.101649,0.603051,0.498599
50,0.862832,0.433486,0.429347,1.097943,0.602649,0.495294
