epoch,train_mse_total,train_mse_surface,train_mse_upper_air,train_focus_loss,train_tweedie_loss,train_acc_surface,train_acc_upper,train_grad_mse_surface,train_grad_mse_upper,train_power_err_surface,train_power_err_upper,train_ssim_surface,train_ssim_upper,train_closure_water,train_closure_energy,train_closure_hydrostatic,train_closure_temperature,train_closure_momentum,valid_mse_total,valid_mse_surface,valid_mse_upper_air,valid_focus_loss,valid_tweedie_loss,valid_acc_surface,valid_acc_upper,valid_grad_mse_surface,valid_grad_mse_upper,valid_power_err_surface,valid_power_err_upper,valid_ssim_surface,valid_ssim_upper,valid_closure_water,valid_closure_energy,valid_closure_hydrostatic,valid_closure_temperature,valid_closure_momentum
1,2.5241655707359314,1.585564150260045,0.9386014273533454,4.9511696467032795,0.21672896711299053,0.3504308866193661,0.33522989086878413,0.07380865786511165,0.2503181993961334,2428.246526493476,302085383561.8461,0.052559886654937424,0.07756383809296843,-0.007279785779806284,0.3018181324005127,0.9418533043219492,-1.5079975128173828e-05,-0.004518628120422363,1.8399536728858947,1.109435749053955,0.7305179357528686,4.264167594909668,0.036288225278258326,0.6082774698734283,0.6184667587280274,0.062092583253979684,0.18211081326007844,3.0256106853485107,236181436620.8,-0.010271928180009127,0.23408600240945815,-0.0015445709228515624,0.5390659928321838,0.9563436031341552,-1.7440319061279298e-05,-0.003169095516204834
2,1.779323724599985,1.1833544625685766,0.5959692631776516,3.544157477525564,0.03265820049609129,0.5928048353928786,0.6669407624464768,0.06599425696409665,0.1308643975510047,2.4893525563753567,174529033767.3846,0.06652425046419151,0.23351360757190448,-0.0010996598463792067,0.6144641316854037,0.9631005783493702,-2.0490242884709285e-05,-0.0016007538025195783,1.6363626003265381,1.0308226823806763,0.6055399298667907,3.92774498462677,0.03372372463345528,0.6282819986343384,0.6980297565460205,0.06207199133932591,0.11015723273158073,2.932794427871704,174832349132.8,0.10951594784855842,0.33998657763004303,-0.005457401275634766,0.4880711376667023,0.9722174525260925,-1.6927719116210938e-05,-0.000834888219833374
3,1.6328874643032367,1.101220536690492,0.5316669161503131,3.4605604043373694,0.034004608527399026,0.6275590383089505,0.7104910016059875,0.0659540374405109,0.08617603721526954,2.4767032907559323,98664102636.3077,0.07812607532608896,0.316298056107301,0.0001512444936312162,0.6461503276458154,0.9746831317360585,-2.288818359375e-05,-0.0010091914580418514,1.56158367395401,0.9926704406738281,0.5689132392406464,4.248622751235962,0.05212056376039982,0.6461964607238769,0.7203220248222351,0.062028780579566956,0.09487519413232803,2.608497381210327,138144036147.2,-0.04135683789500035,0.3654341042041779,0.0024836242198944094,0.6244713127613067,0.9768880784511567,-1.56402587890625e-05,-0.0014150738716125488
4,1.5710092645425062,1.0629281149460719,0.5080811438652185,3.4641518776233378,0.03654846627838337,0.6448138333283938,0.7256491000835712,0.06589460802765992,0.07580145992911778,2.319759474350856,79724010732.3077,0.08147227493855798,0.3368012595635194,-0.0007960590032430795,0.6254347150142376,0.9783352917203536,-2.0581942338209887e-05,-0.001013881885088407,1.497393584251404,0.9455707728862762,0.551822817325592,3.850871467590332,0.04581580311059952,0.6674005806446075,0.7299217879772186,0.06202471554279328,0.0867092989385128,2.350319242477417,111572126259.2,0.17711577266454698,0.4174957811832428,-0.004719555377960205,0.6415250837802887,0.9782477706670761,-1.018047332763672e-05,-0.00042771100997924806
5,1.5219472646713257,1.0238558443693013,0.4980914122783221,3.3989028197068434,0.03682285095923222,0.6611169805893531,0.7318975054300748,0.06582893760731587,0.07081086217210843,2.22127470603356,58036123352.61539,0.1020423721593733,0.34652890666173053,-0.0007074108490577111,0.6134506326455337,0.9800972222135618,-2.2544310643122746e-05,-0.0012995577775515043,1.4465648651123046,0.905743396282196,0.5408214747905731,3.783405303955078,0.056150192953646184,0.6851945161819458,0.7364869594573975,0.061959780752658844,0.08041209131479263,2.294475090503693,80194651187.2,0.1616627998650074,0.4478309124708176,0.000389784574508667,0.5366096675395966,0.9801474809646606,-2.3293495178222657e-05,-0.0008976101875305176
6,1.4241516223320594,0.9321612119674683,0.4919904183882933,3.3718173778974094,0.07329006113398534,0.7006880618058718,0.7359704696215116,0.06566201680554794,0.06699478024473557,2.2232693479611325,51718563761.23077,0.10119777905324903,0.3783935990471106,0.0004581717344430777,0.6231636863488418,0.9819415532625638,-2.1599806272066555e-05,-0.0018110160644237811,1.3614285349845887,0.8347165942192077,0.5267119467258453,3.8706811904907226,0.07851910479366779,0.7162565767765046,0.7442102313041687,0.06176690682768822,0.07471682652831077,2.509158766269684,60180264140.8,0.13262223526835443,0.4595326900482178,0.0013594388961791991,0.5843852043151856,0.9824644207954407,-1.7964839935302733e-05,-0.0016740322113037109
7,1.3944730529418359,0.9105550532157605,0.4839180066035344,3.41336072408236,0.04414121441256542,0.7080990580412058,0.7408688022540166,0.06551136850164486,0.06252200500323223,2.2737340376927304,39293831940.92308,0.08540235941584867,0.3971596136689186,-0.001375271723820613,0.6470998938267047,0.9836145593569829,-2.3956482227032e-05,-0.0014691559168008657,1.3659298062324523,0.8430242240428925,0.5229055881500244,3.8206557035446167,0.040130973979830745,0.7124078691005706,0.7465132415294647,0.061729466915130614,0.07197576239705086,2.3362544536590577,56182281011.2,0.11310108378529549,0.4578318327665329,-0.002527594566345215,0.6127745151519776,0.9839991703629494,-2.328157424926758e-05,-0.001646876335144043
8,1.3652207209513738,0.8835388215688559,0.48168189709003156,3.3719546794891357,0.04961735941469669,0.7177855143180261,0.7423720015929296,0.06535868604595844,0.0609566281334712,2.3170457803286038,34924859820.30769,0.11507047987722147,0.38243337691976476,0.002644960696880634,0.64675572514534,0.984317212150647,-2.7931653536283054e-05,-0.0008875154531919039,1.3592624545097352,0.8366772770881653,0.522585180401802,3.7201157331466677,0.041694270074367525,0.7149675846099853,0.7468172371387481,0.061630481854081154,0.07086372300982476,2.697832095623016,56195612934.4,0.2552648693323135,0.41184242367744445,-0.004992663860321045,0.6280220448970795,0.984022256731987,-1.2004375457763672e-05,-0.0011222004890441895
9,1.330494211270259,0.8524521520504584,0.47804205692731416,3.2942421528009267,0.050458958659034506,0.7311100982702695,0.7447308829197516,0.0652328713868673,0.0593591733620717,2.5614465933579664,33124728888.615383,0.13087676071490234,0.40929320454597473,0.001422423582810622,0.6899818617563981,0.9849115059925959,-2.6386517744797926e-05,-0.001152430589382465,1.32282212972641,0.7960953891277314,0.5267267167568207,3.772647166252136,0.03504330813884735,0.7314137279987335,0.7452664017677307,0.06153573021292687,0.06970104277133941,3.0262275457382204,43471922137.6,0.12417143238708377,0.43928318917751313,0.0006779849529266358,0.561442106962204,0.9846642643213273,-3.5142898559570314e-05,-0.0009736895561218261
10,1.3125213522177477,0.8323877430879153,0.4801336079835892,3.2888375979203444,0.060594444521344624,0.7359829659645374,0.7434975940447587,0.06511639545743282,0.05900152944601499,2.829368669253129,33337641238.153847,0.12311506038531661,0.3604878903581546,0.0031859828875615047,0.676373697244204,0.9847977402118536,-2.8192996978759766e-05,-0.0009078406370603121,1.3733132004737854,0.8462260246276856,0.5270871818065643,3.7020673751831055,0.03826234899461269,0.7102942168712616,0.7454505503177643,0.061738403514027596,0.07164577394723892,2.2658267259597777,55798452076.8,0.12400478757917881,0.3955087274312973,0.0035390794277191163,0.6574163138866425,0.9821588888764381,-1.2195110321044922e-05,-0.0005774378776550293
