epoch,train_mse_total,train_mse_surface,train_mse_upper_air,train_focus_loss,train_tweedie_loss,train_acc_surface,train_acc_upper,train_grad_mse_surface,train_grad_mse_upper,train_power_err_surface,train_power_err_upper,train_ssim_surface,train_ssim_upper,train_closure_water,train_closure_energy,train_closure_hydrostatic,train_closure_temperature,train_closure_momentum,valid_mse_total,valid_mse_surface,valid_mse_upper_air,valid_focus_loss,valid_tweedie_loss,valid_acc_surface,valid_acc_upper,valid_grad_mse_surface,valid_grad_mse_upper,valid_power_err_surface,valid_power_err_upper,valid_ssim_surface,valid_ssim_upper,valid_closure_water,valid_closure_energy,valid_closure_hydrostatic,valid_closure_temperature,valid_closure_momentum
1,2.3017277809289785,1.4250083015515254,0.8767195091797755,4.884368557196397,0.31368940911040855,0.445591568803558,0.39859083155170083,0.07228165191526596,0.2298642872617795,171.12378312991217,282032979495.38464,0.047313721993794806,0.08427203723784679,0.002749087718816904,0.028150533254329976,0.9496587245510175,-2.1388897529015176e-05,-0.0007856900875384991,1.7007003426551819,0.9923899710178375,0.7083103716373443,4.263818097114563,0.03521588444709778,0.6455011546611786,0.6331371307373047,0.06199507229030132,0.17536133974790574,4.203350400924682,263563626086.4,0.1056517630815506,0.2560971796512604,0.013912659883499146,0.07816032767295837,0.9601705759763718,-9.262561798095703e-06,-0.0008471548557281494
2,1.5346713891396155,0.9541470133341275,0.5805243769517312,3.6253304664905253,0.04825236734289389,0.6896619177781619,0.6781958410373101,0.06551565502125484,0.126071093747249,4.777768831986648,137806092445.53845,0.12007584351186569,0.23216792948257464,0.002117704886656541,0.0644881404363192,0.9668610909810433,-1.723491228543795e-05,-0.000986413313792302,1.4325117588043212,0.8391383349895477,0.593373441696167,3.8384681701660157,0.04827542267739773,0.7114089012145997,0.7055318772792816,0.061608058586716655,0.1135272815823555,6.026093053817749,117626449920.0,0.1902810037136078,0.35943681448698045,0.009731560945510864,0.08892120122909546,0.9721701502799988,-1.0025501251220702e-05,0.0005008995532989502
3,1.3554654442347014,0.8321005220596607,0.5233649301987428,3.3832742159183207,0.06068021675141958,0.7362660353000348,0.7157235260193164,0.06513234156255539,0.08708345144987106,6.0915468747799215,72899577216.0,0.1667852671100543,0.3284719603566023,0.005002115781490619,0.15794881490560678,0.9753154338552401,-2.124217840341421e-05,6.982684135437012e-05,1.3717036604881288,0.8096477568149567,0.5620558977127075,3.6973527669906616,0.04876422397792339,0.7269063591957092,0.7245030760765075,0.06142844557762146,0.08964584022760391,9.139858484268188,82592761164.8,0.10240405732765794,0.3702147454023361,-0.04218381643295288,0.08118886351585389,0.9771050930023193,-1.112222671508789e-05,0.0012682020664215089
4,1.289396937076862,0.7859980486906492,0.5033988883862128,3.2160774561075063,0.04884666791902138,0.7541351112035605,0.7291331749695998,0.06489537154825833,0.07410245532026657,7.3292996149796705,54328162382.76923,0.17509345846393934,0.37495200221355146,0.0012120352341578556,0.09866134478495671,0.9788763700769498,-2.4584623483511117e-05,-0.0002888326461498554,1.3400709986686707,0.7927790284156799,0.5472919851541519,3.589337205886841,0.03510958105325699,0.7329983472824096,0.732817268371582,0.0613848265260458,0.08238500729203224,9.5461989402771,65301783091.2,0.24853633642196654,0.37614755481481554,0.05695986747741699,0.09605004787445068,0.9792314395308495,-2.1505355834960938e-05,-0.0010317921638488769
5,1.2360628384810228,0.7432246987636273,0.49283812596247745,3.1483609126164365,0.050164712306398615,0.769799693272664,0.7356061499852401,0.06460966642659444,0.06760658868230306,7.49487411058866,40214473952.0,0.20043663974278247,0.37108959142978376,0.0106733854000385,0.09741576589070834,0.9815330849244044,-2.6932129493126504e-05,-0.0005537523673130915,1.319826638698578,0.7875714123249054,0.5322552263736725,3.479190945625305,0.033206672966480257,0.7426164448261261,0.7409443616867065,0.06117768287658691,0.07627990394830704,11.56950602531433,47162888217.6,0.260686120390892,0.42794128954410554,-0.018993234634399413,0.3877753496170044,0.9824863150715828,-1.25885009765625e-05,-0.0005976378917694092
6,1.2084892460933099,0.7175698005236112,0.4909194352535101,3.0762921755130472,0.07355455230348386,0.7800941742383517,0.7371061971554389,0.06431154992717963,0.06546302082446906,8.612051817087027,39404271985.23077,0.16287174656127507,0.3646064635652762,0.004005173077950111,0.09962765757854168,0.9828517070183387,-2.4107786325307992e-05,-0.0004638548080737774,1.3040059328079223,0.7733729541301727,0.5306329935789108,3.3738745212554933,0.07128048241138459,0.7449666261672974,0.7419325232505798,0.060934003442525864,0.07396706491708756,15.04664068222046,44537437401.6,0.2081426799297333,0.38802783489227294,0.02900453209877014,0.2611676216125488,0.9836134403944016,-3.075599670410156e-05,-0.0007010936737060547
7,1.1897480350274305,0.705314555993447,0.48443348705768585,3.0036454109045176,0.04556382705385868,0.782954928966669,0.7409373086232406,0.0640459182457282,0.06265497967027701,8.740742316612831,32503727241.846153,0.22502524205125296,0.3782687657154523,0.008058639673086314,0.07555426771824177,0.9836311781635652,-2.7913313645582933e-05,-0.000561001209112314,1.2754320621490478,0.7477458417415619,0.5276862204074859,3.264468193054199,0.047964657098054884,0.7510549843311309,0.7446828961372376,0.06090951599180698,0.07483300119638443,15.766827011108399,52408954854.4,0.09648578357882798,0.4287036180496216,-0.106852126121521,0.18979726433753968,0.9820777386426925,-4.0888786315917965e-06,-0.0005562007427215576
8,1.1584921181201935,0.6796995172133813,0.4787925974680827,2.8460468420615563,0.073109506844328,0.7914466101389664,0.7439775535693536,0.06376332560410866,0.06032035327874697,9.249714099443876,30274869319.384617,0.22395669812193283,0.3899411094876436,0.011672008496064406,0.1008238998743204,0.9845220830578071,-2.683584506695087e-05,-0.000332715419622568,1.3016638517379762,0.7841029942035675,0.5175608694553375,3.168281817436218,0.031293013319373134,0.7487073242664337,0.7493069469928741,0.0606797881424427,0.06918218210339547,17.56829571723938,43776800473.6,0.19403599724173545,0.4254327297210693,-0.012660735845565796,0.2427118718624115,0.9846873015165329,-2.599954605102539e-05,-0.00012413859367370604
9,1.1340253811616163,0.6600953661478483,0.47393001042879546,2.8303408255943885,0.06369026127056433,0.7997377377289993,0.7469695852353022,0.06350309158173892,0.05763123342050956,9.786106916574331,25358133203.692307,0.19519700983969065,0.37427629702366316,0.010670959949493408,0.08495666430546688,0.9855696960137441,-2.4094031407282902e-05,-0.0006505411404829759,1.2235373497009276,0.7113597095012665,0.5121776223182678,3.0340867757797243,0.055035800114274024,0.7656974852085113,0.7524963915348053,0.06041910946369171,0.06852042600512505,23.004513835906984,39448985356.8,0.24901353269815446,0.48287080228328705,0.036802428960800174,0.033476561307907104,0.985205814242363,-1.6105175018310546e-05,-0.002044856548309326
10,1.1140050750512343,0.6422487096144602,0.4717563597055582,2.7594555341280422,0.04958385250602777,0.8056084009317251,0.7484532067408929,0.0631949223864537,0.05617739188556488,10.087317154957699,25700648499.692307,0.2726256652520253,0.41604748139014613,0.031599031044886663,0.0623893141746521,0.9863595727544564,-3.0966905447152945e-05,-0.0005176273676065298,1.1871361255645752,0.6775130152702331,0.5096230924129486,2.9538148641586304,0.03386283665895462,0.778020840883255,0.7543894350528717,0.060218280926346776,0.06623260006308555,22.048904037475587,44843865964.8,0.3140062719583511,0.44419207870960237,0.03767188787460327,0.21619533896446227,0.9858877077698708,-2.1016597747802736e-05,-0.001768636703491211
11,1.100597927203545,0.62997372677693,0.47062419469539934,2.7423650393119225,0.05376472725318028,0.8103698125252357,0.7493315086914942,0.06284186301323083,0.05531790222112949,10.235286180789654,24700072413.53846,0.18259125333637571,0.3927781948676476,0.02715608706841102,0.1372873095365671,0.98590365338784,-2.8248016650860125e-05,-0.000528555649977464,1.219500684738159,0.707258152961731,0.5122425198554993,3.06372926235199,0.028807625733315946,0.7693278849124908,0.7527087986469269,0.06005827225744724,0.06674381941556931,22.49034175872803,46066501504.0,0.24969372004270554,0.43246081471443176,0.046782535314559934,0.3877352952957153,0.9863703399896622,-1.9073486328125e-05,-0.0004360675811767578
12,1.087328858100451,0.6191583894766294,0.4681704697700647,2.7835379930642934,0.05746410672481243,0.8140251682354853,0.7507453056482168,0.06268117390573025,0.05502903891297487,10.012709801013653,24421879544.615383,0.243662007439595,0.4084599780348631,0.026653537383446328,0.056631191418721125,0.9865768431470945,-3.2007694244384766e-05,-0.0007553329834571251,1.1964242935180665,0.6896341443061829,0.5067901253700257,2.9637375593185427,0.03606096208095551,0.7739956200122833,0.7556022942066193,0.060021357238292695,0.0639904722571373,25.182250881195067,38079253593.6,0.07971136504784226,0.47048098742961886,0.06903616189956666,0.2332602322101593,0.98712607473135,-1.081228256225586e-05,-0.0006921172142028808
13,1.0725677219720988,0.6063346255284089,0.4662330952974466,2.7023695707321167,0.03974795241195422,0.8180411985287299,0.7522044044274551,0.062457109873111434,0.05360402267139692,10.204566992246187,24286696617.846153,0.2321554819578663,0.42112887364167434,0.02620235773233267,0.09848258587030265,0.9872982375896894,-3.117781419020433e-05,-0.0005056193241706261,1.183155906200409,0.6775776445865631,0.5055782854557037,3.0182443618774415,0.03285087570548058,0.7800157070159912,0.7560714840888977,0.05978078283369541,0.06346862129867077,18.458384799957276,61554572185.6,0.36674389243125916,0.4444947212934494,0.026411432027816772,0.13538535833358764,0.9870866626501084,-3.085136413574219e-05,-0.0012622594833374024
14,1.0612741639980903,0.5984724840292563,0.4628016776763476,2.680691333917471,0.04994696056326994,0.8201547356752249,0.7541634325797741,0.06231941239765057,0.05286225461615966,9.260245011403011,26273883094.153847,0.2830442718158548,0.41661834487548244,0.03560016476191007,0.1232624351978302,0.9877922466168036,-3.2172753260685844e-05,-0.0003367433181175819,1.1950549602508544,0.6951968491077423,0.49985807240009306,2.9754711866378782,0.04886599220335484,0.7778700947761535,0.7593187749385834,0.05971478708088398,0.062261585146188736,19.71938223838806,36544595846.4,0.25519503802061083,0.4575029730796814,0.02502392530441284,0.28760197162628176,0.9872890755534172,-2.5022029876708985e-05,-0.0006107509136199952
15,1.0464353698950548,0.5821795841822257,0.4642557891515585,2.6708731192808886,0.04266960775622955,0.8254658831999853,0.7534548135904166,0.061986221287112966,0.052640498257600345,10.438019404044518,24833468754.46154,0.24645131511183885,0.39158619137910694,0.033511730340810925,0.11814636221298805,0.9873349999005978,-3.176469069260817e-05,-0.0005980867605942946,1.1688750863075257,0.665745061635971,0.503130030632019,2.9023635625839233,0.043014629557728765,0.7823580443859101,0.7580961227416992,0.059587154537439346,0.06286419667303562,19.50956630706787,40776351961.6,0.36821828931570055,0.4361992210149765,0.06250433325767517,0.24273162484169006,0.98688452988863,-1.113414764404297e-05,-0.0006825566291809082
16,1.0482276792709644,0.5860322633614907,0.46219542622566223,2.7185248411618748,0.05171798857358786,0.8259209165206323,0.7544810336369735,0.06185424041289549,0.052510434904923804,9.96685607616718,26373873740.307693,0.2593767328116183,0.39169638374677074,0.030550298782495353,0.054416385980752796,0.9872367605566978,-3.5909505990835336e-05,-0.0008493249232952411,1.1486069679260253,0.6502003729343414,0.49840658009052274,3.043606472015381,0.07691345140337943,0.7908812940120697,0.7604210138320923,0.059359171986579896,0.06158522814512253,20.916023349761964,30193131443.2,0.20596201121807098,0.45838268995285036,0.055343461036682126,0.3549756944179535,0.987687100470066,-3.743171691894531e-05,-0.0015184640884399413
17,1.0284019250136156,0.5704696121124121,0.4579323117549603,2.632120416714595,0.04683328742304674,0.8304565365497882,0.7570164707990793,0.06171434143414864,0.05132558297079343,10.44849393917964,23086507303.384617,0.28876229676489645,0.41502897212138545,0.0272632883145259,0.1346601087313432,0.9879594147205353,-3.909147702730619e-05,-0.0007980603438157302,1.165351963043213,0.6543713808059692,0.5109805822372436,2.979083228111267,0.05197255313396454,0.7870570540428161,0.7530377566814422,0.05933420620858669,0.06144646257162094,17.905523586273194,44417931097.6,0.2454598516225815,0.4141942024230957,0.050742816925048825,0.2763986885547638,0.9860378637909889,-3.9243698120117186e-05,-0.0005702853202819824
18,1.0175142930104182,0.5591150625393941,0.45839922703229463,2.6280642472780666,0.03845659679231735,0.8340901824144217,0.7565418115028968,0.061508901990376987,0.05135356663511349,10.168263178605299,22890289122.46154,0.26589250492934996,0.4033196293390714,0.046262041880534246,0.12200891971588135,0.9875505692683734,-3.395630763127254e-05,-0.0004808352543757512,1.1239877223968506,0.6270353496074677,0.4969523727893829,2.904277777671814,0.032875016517937186,0.7961482167243957,0.7609680712223053,0.05914596170186996,0.06163939498364925,19.47697162628174,34219542649.6,0.3046458877623081,0.4798396617174149,0.06887476444244385,0.12751304507255554,0.9863758489489556,-2.6810169219970704e-05,-0.0008085727691650391
19,1.0011605207736676,0.545659275009082,0.45550124232585615,2.6057294882260837,0.05243728675234776,0.8383554380673629,0.7584921740568601,0.06128425638263042,0.0511398481634947,9.580185431700487,22061218633.846153,0.35511048768575376,0.42374854019054997,0.040933070274499744,0.1633051886008336,0.9877826021267817,-3.798191363994892e-05,-0.0006475425683535063,1.1381436705589294,0.640471202135086,0.49767246544361116,3.0305991649627684,0.030126799270510672,0.7918076157569885,0.7605115056037903,0.05915690697729588,0.06041278578341007,19.653518867492675,32192370345.6,0.3344641327857971,0.4350106805562973,-0.010313588380813598,0.2751079618930817,0.987489891052246,-1.94549560546875e-05,-0.0011328458786010742
20,0.9989591447206644,0.545242951466487,0.4537161932541774,2.61765679029318,0.039635685415795215,0.8386260683719928,0.7597902325483469,0.06118440413131164,0.05018179835035251,10.426274538040161,19413758923.076923,0.31658496557233423,0.4075851420370432,0.0358136181647961,0.1795110862988692,0.9880956245156435,-3.403425216674805e-05,-0.0007577607264885536,1.1409028887748718,0.645850270986557,0.4950526386499405,2.90662739276886,0.045132708922028544,0.796669065952301,0.7621346533298492,0.05906521044671535,0.06010979823768139,18.19488000869751,31342523526.4,0.29177539199590685,0.45441810190677645,0.06656845808029174,0.11899672746658325,0.9874506965279579,-2.8467178344726564e-05,-0.0005280256271362304
