Model,Lead_Time,Temp_RMSE,Temp_ACC,Precip_RMSE,Precip_ACC,SPEI_Agreement
CAS-Canglong,1,7.2900,0.9479,3.0636,0.5390,0.6832
CAS-Canglong,2,6.7106,0.9459,3.1510,0.5315,0.6911
CAS-Canglong,3,7.2854,0.9553,3.1100,0.3890,0.6446
CAS-Canglong,4,7.7468,0.9399,3.1150,0.3824,0.6304
CAS-Canglong,5,7.3905,0.9222,3.5617,0.3705,0.6485
CAS-Canglong,6,8.5547,0.9354,3.6249,0.3763,0.6509
ECMWF,1,2.3278,0.9756,57.8406,0.6294,0.6895
ECMWF,2,2.5450,0.9681,64.9032,0.3822,0.6478
ECMWF,3,2.5508,0.9583,64.5878,0.3777,0.5674
ECMWF,4,3.1903,0.9426,45.8455,0.1990,0.5745
ECMWF,5,2.7070,0.9580,50.9586,0.2608,0.5981
ECMWF,6,3.2263,0.9517,65.4553,0.4464,0.6635
