Model,Lead_Time,Temp_RMSE,Temp_ACC,Precip_RMSE,Precip_ACC,SPEI_Agreement
CAS-Canglong,1,7.6779,0.9498,3.5455,0.4139,0.7132
CAS-Canglong,2,7.1611,0.9482,3.6190,0.4153,0.7226
CAS-Canglong,3,7.0220,0.9174,3.6496,0.3299,0.6903
CAS-Canglong,4,7.0351,0.9291,3.7265,0.3336,0.6848
CAS-Canglong,5,6.8619,0.9457,3.3460,0.3826,0.6824
CAS-Canglong,6,8.2496,0.9287,3.3311,0.3857,0.6840
ECMWF,1,2.2939,0.9522,71.4732,0.6512,0.6887
ECMWF,2,3.1852,0.9204,54.1547,0.5059,0.6525
ECMWF,3,3.3037,0.9152,50.8989,0.2788,0.6154
ECMWF,4,3.5250,0.9142,85.9497,0.5647,0.6612
ECMWF,5,2.5026,0.9483,58.2781,0.4894,0.6430
ECMWF,6,2.7407,0.9474,61.8271,0.3897,0.6430
