Model,Lead_Time,Temp_RMSE,Temp_ACC,Precip_RMSE,Precip_ACC,SPEI_Agreement
CAS-Canglong,1,6.4072,0.9241,3.8541,0.2552,0.5784
CAS-Canglong,2,5.6702,0.9238,4.0468,0.2559,0.5926
CAS-Canglong,3,5.6102,0.9086,2.8954,0.2723,0.5965
CAS-Canglong,4,5.2914,0.9121,2.9531,0.2746,0.6013
CAS-Canglong,5,5.1455,0.8612,2.8525,0.3895,0.6241
CAS-Canglong,6,5.8360,0.8828,2.9674,0.3910,0.6596
ECMWF,1,3.1362,0.9372,47.7601,0.5784,0.7029
ECMWF,2,4.4744,0.8703,41.7068,0.3927,0.5957
ECMWF,3,3.4223,0.9344,37.7317,0.4085,0.6344
ECMWF,4,3.7934,0.9053,58.4551,0.1288,0.5705
ECMWF,5,4.6077,0.8777,54.3219,0.2641,0.5682
ECMWF,6,3.0731,0.9394,58.5270,0.2788,0.5957
