Model,Lead_Time,Temp_RMSE,Temp_ACC,Precip_RMSE,Precip_ACC,SPEI_Agreement
CAS-Canglong,1,7.9220,0.9737,2.9138,0.4606,0.6690
CAS-Canglong,2,7.5849,0.9701,2.9055,0.4592,0.6738
CAS-Canglong,3,8.2046,0.9545,3.2741,0.4506,0.7360
CAS-Canglong,4,8.5823,0.9573,3.3319,0.4585,0.7187
CAS-Canglong,5,8.7380,0.9363,3.0668,0.3019,0.5973
CAS-Canglong,6,9.8686,0.9446,3.1473,0.2986,0.6241
ECMWF,1,2.7754,0.9641,58.3841,0.6854,0.7329
ECMWF,2,3.1674,0.9486,55.8412,0.4801,0.6548
ECMWF,3,3.4975,0.9254,62.7430,0.4937,0.6919
ECMWF,4,3.2213,0.9270,55.5504,0.4617,0.7069
ECMWF,5,3.5669,0.9312,50.4289,0.3895,0.6745
ECMWF,6,4.4859,0.9004,46.3988,0.3557,0.6139
