Model,Lead_Time,Temp_RMSE,Temp_ACC,Precip_RMSE,Precip_ACC,SPEI_Agreement
CAS-Canglong,1,7.3511,0.9318,3.5162,0.5108,0.7163
CAS-Canglong,2,6.5599,0.9343,3.5008,0.5139,0.7258
CAS-Canglong,3,6.6701,0.9085,3.7120,0.4506,0.6950
CAS-Canglong,4,6.8970,0.9160,3.7140,0.4569,0.6809
CAS-Canglong,5,5.9695,0.9143,4.0716,0.3546,0.6675
CAS-Canglong,6,6.6474,0.9275,4.1795,0.3516,0.6422
ECMWF,1,4.0635,0.8809,81.4257,0.7062,0.7439
ECMWF,2,3.9849,0.8816,86.7831,0.6586,0.7061
ECMWF,3,3.5081,0.9061,66.2881,0.3670,0.6966
ECMWF,4,3.9884,0.8873,84.2706,0.5570,0.7076
ECMWF,5,4.9167,0.8062,74.4747,0.4443,0.6887
ECMWF,6,2.5254,0.9514,74.5299,0.4608,0.6777
