Model,Lead_Time,Temp_RMSE,Temp_ACC,Precip_RMSE,Precip_ACC,SPEI_Agreement
CAS-Canglong,1,7.2483,0.9458,2.5881,0.4581,0.6714
CAS-Canglong,2,6.8236,0.9509,2.6498,0.4596,0.6698
CAS-Canglong,3,6.8335,0.9456,2.8911,0.4215,0.6462
CAS-Canglong,4,6.9111,0.9433,3.0744,0.4227,0.6454
CAS-Canglong,5,7.7331,0.9365,3.0397,0.4265,0.6816
CAS-Canglong,6,9.3292,0.9225,3.1804,0.4382,0.6887
ECMWF,1,1.9661,0.9793,51.0241,0.5305,0.6706
ECMWF,2,1.8049,0.9770,44.1335,0.3143,0.6115
ECMWF,3,2.4282,0.9632,55.1027,0.3250,0.5942
ECMWF,4,2.7965,0.9462,55.7939,0.2613,0.5666
ECMWF,5,2.8636,0.9405,50.8565,0.0390,0.5035
ECMWF,6,2.9985,0.9367,43.0883,0.1813,0.5453
