row_type,model,variable,lead,tcc_weighted,sample_tcc,sample_id,sample_lat,sample_lon,n_target_weeks,time_start,time_end,grid,sample_grid,sample_seed,sample_size,sample_valid_count,sample_mean,sample_std,tcc_definition,sample_definition
sample,CAS-Canglong,all,1,0.4148821248809548,0.41359323263168335,15.0,82.5,345.0,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.459051176905632,16.0,30.0,97.5,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.44528187811374664,17.0,-47.5,330.0,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.41315919160842896,18.0,-52.5,80.0,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.3463478907942772,19.0,-10.0,152.5,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.3921728655695915,20.0,-75.0,200.0,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.36511944234371185,21.0,-40.0,7.5,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.4680022895336151,22.0,-17.5,85.0,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.3902926445007324,23.0,60.0,247.5,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.5954800844192505,24.0,-62.5,20.0,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.38830728083848953,25.0,57.5,295.0,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.46682971715927124,26.0,47.5,37.5,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.6011109203100204,27.0,-12.5,245.0,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.4476438909769058,28.0,-40.0,117.5,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.4774838089942932,29.0,-30.0,5.0,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.40468376874923706,30.0,45.0,140.0,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
