Model,Lead_Time,Temp_RMSE,Temp_ACC,Precip_RMSE,Precip_ACC,SPEI_Agreement
CAS-Canglong,1,8.3513,0.9783,2.1265,0.3427,0.7346
CAS-Canglong,2,7.9622,0.9793,2.1537,0.3490,0.7335
CAS-Canglong,3,8.4353,0.9549,2.9298,0.2777,0.7345
CAS-Canglong,4,8.2558,0.9612,3.1191,0.2838,0.7413
CAS-Canglong,5,8.1583,0.9723,2.1569,0.2190,0.7710
CAS-Canglong,6,10.1502,0.9595,2.1906,0.2332,0.7725
ECMWF,1,2.9726,0.9526,33.3032,0.3408,0.6610
ECMWF,2,4.4956,0.9129,27.0071,0.3095,0.6307
ECMWF,3,3.7703,0.9279,40.6132,0.2151,0.5757
ECMWF,4,4.1431,0.9323,31.6318,0.3527,0.5964
ECMWF,5,3.6159,0.9485,36.8546,0.2483,0.5521
ECMWF,6,3.9615,0.9395,36.9891,0.2413,0.6045
