Model,Lead_Time,Temp_RMSE,Temp_ACC,Precip_RMSE,Precip_ACC,SPEI_Agreement
CAS-Canglong,1,5.7467,0.9704,1.9786,0.3742,0.7318
CAS-Canglong,2,4.9824,0.9727,2.0235,0.3784,0.7283
CAS-Canglong,3,4.3236,0.9680,1.9324,0.4058,0.8096
CAS-Canglong,4,4.3514,0.9669,2.0266,0.4143,0.8090
CAS-Canglong,5,4.4323,0.9667,1.9355,0.3073,0.7354
CAS-Canglong,6,5.6154,0.9688,2.0069,0.3119,0.7393
ECMWF,1,3.5226,0.9421,32.0471,0.3629,0.6140
ECMWF,2,4.3426,0.9406,26.8996,0.2777,0.7072
ECMWF,3,3.7123,0.9399,29.7396,0.0959,0.6684
ECMWF,4,4.1098,0.9039,33.3593,0.0495,0.5907
ECMWF,5,3.7838,0.9177,37.5979,0.2781,0.6134
ECMWF,6,3.9496,0.8992,30.7197,0.1450,0.6606
