Model,Lead_Time,Temp_RMSE,Temp_ACC,Precip_RMSE,Precip_ACC,SPEI_Agreement
CAS-Canglong,1,9.4806,0.9820,2.5437,0.3262,0.6998
CAS-Canglong,2,9.0154,0.9830,2.6475,0.3253,0.6963
CAS-Canglong,3,8.6515,0.9723,2.2576,0.2079,0.6921
CAS-Canglong,4,8.1885,0.9736,2.3579,0.2109,0.6888
CAS-Canglong,5,10.1181,0.9579,2.2653,0.2775,0.7218
CAS-Canglong,6,11.7775,0.9552,2.4124,0.2770,0.6966
ECMWF,1,1.8703,0.9822,29.8786,0.4000,0.5041
ECMWF,2,1.7628,0.9803,25.2892,0.2534,0.5535
ECMWF,3,1.5867,0.9778,31.5040,-0.0620,0.6992
ECMWF,4,2.5040,0.9723,52.9344,0.1111,0.4488
ECMWF,5,2.0153,0.9710,41.2230,-0.1145,0.4541
ECMWF,6,2.1825,0.9608,28.8224,-0.2687,0.5531
