Model,Lead_Time,Temp_RMSE,Temp_ACC,Precip_RMSE,Precip_ACC,SPEI_Agreement
CAS-Canglong,1,7.3688,0.9763,2.2803,0.3555,0.7710
CAS-Canglong,2,6.5181,0.9787,2.2912,0.3619,0.7652
CAS-Canglong,3,7.7089,0.9578,2.4702,0.2137,0.7111
CAS-Canglong,4,7.9832,0.9560,2.5070,0.2259,0.7121
CAS-Canglong,5,6.9832,0.9648,2.5388,0.2901,0.7710
CAS-Canglong,6,7.6188,0.9664,2.6515,0.3026,0.7752
ECMWF,1,,,,,
ECMWF,2,,,,,
ECMWF,3,,,,,
ECMWF,4,,,,,
ECMWF,5,,,,,
ECMWF,6,,,,,
