Model,Lead_Time,Temp_RMSE,Temp_ACC,Precip_RMSE,Precip_ACC,SPEI_Agreement
CAS-Canglong,1,7.9659,0.9622,2.0521,0.3078,0.7577
CAS-Canglong,2,7.5713,0.9597,2.1125,0.3106,0.7494
CAS-Canglong,3,7.8309,0.9642,2.1027,0.3904,0.7864
CAS-Canglong,4,7.7529,0.9569,2.2437,0.3973,0.7742
CAS-Canglong,5,8.3915,0.9472,2.0001,0.3960,0.8070
CAS-Canglong,6,10.1773,0.9425,2.0978,0.4024,0.8192
ECMWF,1,4.7890,0.9123,36.2498,0.3877,0.6101
ECMWF,2,2.8324,0.9598,32.2914,0.2156,0.5430
ECMWF,3,3.5375,0.9353,27.7775,0.0787,0.6346
ECMWF,4,4.2967,0.9363,50.0054,0.2173,0.4933
ECMWF,5,3.8993,0.9355,47.0399,0.0633,0.4821
ECMWF,6,4.3970,0.9034,30.5947,-0.0731,0.5590
