Model,Lead_Time,Temp_RMSE,Temp_ACC,Precip_RMSE,Precip_ACC,SPEI_Agreement
CAS-Canglong,1,4.8465,0.9610,1.9242,0.3509,0.7825
CAS-Canglong,2,4.3180,0.9507,1.9652,0.3544,0.7800
CAS-Canglong,3,3.1813,0.9583,2.1240,0.2603,0.7117
CAS-Canglong,4,3.1301,0.9553,2.1848,0.2666,0.7146
CAS-Canglong,5,3.3626,0.9424,2.1150,0.2768,0.7805
CAS-Canglong,6,3.3171,0.9436,2.2288,0.2869,0.7799
ECMWF,1,3.5126,0.9551,25.8994,0.5553,0.6715
ECMWF,2,4.5005,0.9307,30.9711,0.3112,0.6834
ECMWF,3,4.9399,0.8637,30.7073,0.3731,0.6829
ECMWF,4,5.9376,0.8992,25.1286,0.2482,0.7269
ECMWF,5,5.7955,0.8967,31.9490,0.0447,0.5721
ECMWF,6,4.8211,0.9265,27.4533,0.1483,0.6490
